Code;Channel Quality;BER;Total Bits;Total Bit Errors;Total blocks;Average Errors per Block
Reed Solomon;GOOD;0,0003;2884560;885;1414;0,6258840169731259
Reed Solomon;GOOD;0,0003;2884560;930;1414;0,6577086280056577
Reed Solomon;GOOD;0,0003;2884560;863;1414;0,6103253182461104
Reed Solomon;GOOD;0,0003;2884560;803;1414;0,5678925035360679
Reed Solomon;GOOD;0,0003;2884560;847;1414;0,599009900990099
Reed Solomon;GOOD;0,0003;2884560;861;1414;0,6089108910891089
Reed Solomon;GOOD;0,0003;2884560;893;1414;0,6315417256011315
Reed Solomon;GOOD;0,0003;2884560;861;1414;0,6089108910891089
Reed Solomon;GOOD;0,0003;2884560;858;1414;0,6067892503536068
Reed Solomon;GOOD;0,0003;2884560;858;1414;0,6067892503536068
Reed Solomon;GOOD;0,0003;2884560;862;1414;0,6096181046676096
Reed Solomon;GOOD;0,0003;2884560;869;1414;0,6145685997171145
Reed Solomon;GOOD;0,0003;2884560;894;1414;0,6322489391796322
Reed Solomon;GOOD;0,0003;2884560;846;1414;0,5983026874115983
Reed Solomon;GOOD;0,0003;2884560;789;1414;0,557991513437058
Reed Solomon;GOOD;0,0003;2884560;894;1414;0,6322489391796322
Reed Solomon;GOOD;0,0003;2884560;858;1414;0,6067892503536068
Reed Solomon;GOOD;0,0003;2884560;887;1414;0,6272984441301273
Reed Solomon;GOOD;0,0003;2884560;831;1414;0,5876944837340877
Reed Solomon;GOOD;0,0003;2884560;833;1414;0,5891089108910891
Reed Solomon;GOOD;0,0003;2884560;870;1414;0,6152758132956153
Reed Solomon;GOOD;0,0003;2884560;839;1414;0,5933521923620934
Reed Solomon;GOOD;0,0003;2884560;846;1414;0,5983026874115983
Reed Solomon;GOOD;0,0003;2884560;911;1414;0,6442715700141443
Reed Solomon;GOOD;0,0003;2884560;839;1414;0,5933521923620934
Reed Solomon;GOOD;0,0003;2884560;860;1414;0,6082036775106082
Reed Solomon;GOOD;0,0003;2884560;812;1414;0,5742574257425742
Reed Solomon;MEDIUM;0,001;2884560;2846;1414;2,0127298444130126
Reed Solomon;MEDIUM;0,001;2884560;2904;1414;2,0537482319660536
Reed Solomon;MEDIUM;0,001;2884560;2835;1414;2,004950495049505
Reed Solomon;MEDIUM;0,001;2884560;2896;1414;2,048090523338048
Reed Solomon;MEDIUM;0,001;2884560;2859;1414;2,021923620933522
Reed Solomon;MEDIUM;0,001;2884560;2743;1414;1,9398868458274399
Reed Solomon;MEDIUM;0,001;2884560;2871;1414;2,0304101838755306
Reed Solomon;MEDIUM;0,001;2884560;2918;1414;2,0636492220650635
Reed Solomon;MEDIUM;0,001;2884560;2902;1414;2,0523338048090523
Reed Solomon;MEDIUM;0,001;2884560;2945;1414;2,082743988684583
Reed Solomon;MEDIUM;0,001;2884560;2894;1414;2,046676096181047
Reed Solomon;MEDIUM;0,001;2884560;2908;1414;2,0565770862800568
Reed Solomon;MEDIUM;0,001;2884560;2909;1414;2,057284299858557
Reed Solomon;MEDIUM;0,001;2884560;2900;1414;2,050919377652051
Reed Solomon;MEDIUM;0,001;2884560;2933;1414;2,0742574257425743
Reed Solomon;MEDIUM;0,001;2884560;2866;1414;2,026874115983027
Reed Solomon;MEDIUM;0,001;2884560;2818;1414;1,992927864214993
Reed Solomon;MEDIUM;0,001;2884560;2956;1414;2,0905233380480905
Reed Solomon;MEDIUM;0,001;2884560;2858;1414;2,021216407355021
Reed Solomon;MEDIUM;0,001;2884560;2830;1414;2,0014144271570014
Reed Solomon;MEDIUM;0,001;2884560;2821;1414;1,995049504950495
Reed Solomon;MEDIUM;0,001;2884560;2868;1414;2,0282885431400284
Reed Solomon;MEDIUM;0,001;2884560;2900;1414;2,050919377652051
Reed Solomon;MEDIUM;0,001;2884560;2931;1414;2,072842998585573
Reed Solomon;MEDIUM;0,001;2884560;2843;1414;2,010608203677511
Reed Solomon;MEDIUM;0,001;2884560;2909;1414;2,057284299858557
Reed Solomon;MEDIUM;0,001;2884560;2891;1414;2,0445544554455446
Reed Solomon;MEDIUM;0,001;2884560;2857;1414;2,0205091937765207
Reed Solomon;MEDIUM;0,001;2884560;2921;1414;2,0657708628005658
Reed Solomon;MEDIUM;0,001;2884560;2909;1414;2,057284299858557
Reed Solomon;MEDIUM;0,001;2884560;2997;1414;2,1195190947666194
Reed Solomon;MEDIUM;0,001;2884560;2924;1414;2,067892503536068
Reed Solomon;MEDIUM;0,001;2884560;2869;1414;2,028995756718529
Reed Solomon;MEDIUM;0,001;2884560;2700;1414;1,9094766619519095
Reed Solomon;MEDIUM;0,001;2884560;2956;1414;2,0905233380480905
Reed Solomon;MEDIUM;0,001;2884560;2823;1414;1,9964639321074964
Reed Solomon;MEDIUM;0,001;2884560;2845;1414;2,012022630834512
Reed Solomon;MEDIUM;0,001;2884560;2876;1414;2,033946251768034
Reed Solomon;MEDIUM;0,001;2884560;3005;1414;2,1251768033946252
Reed Solomon;MEDIUM;0,001;2884560;2907;1414;2,055869872701556
Reed Solomon;MEDIUM;0,001;2884560;2975;1414;2,103960396039604
Reed Solomon;MEDIUM;0,001;2884560;2905;1414;2,0544554455445545
Reed Solomon;MEDIUM;0,001;2884560;2805;1414;1,9837340876944838
Reed Solomon;MEDIUM;0,001;2884560;2906;1414;2,055162659123055
Reed Solomon;MEDIUM;0,001;2884560;2890;1414;2,0438472418670437
Reed Solomon;MEDIUM;0,001;2884560;2945;1414;2,082743988684583
Reed Solomon;MEDIUM;0,001;2884560;2897;1414;2,0487977369165487
Reed Solomon;MEDIUM;0,001;2884560;2898;1414;2,0495049504950495
Reed Solomon;MEDIUM;0,001;2884560;2846;1414;2,0127298444130126
Reed Solomon;MEDIUM;0,001;2884560;2835;1414;2,004950495049505
Reed Solomon;MEDIUM;0,001;2884560;2782;1414;1,9674681753889676
Reed Solomon;MEDIUM;0,001;2884560;2887;1414;2,041725601131542
Reed Solomon;MEDIUM;0,001;2884560;2928;1414;2,0707213578500707
Reed Solomon;MEDIUM;0,001;2884560;2906;1414;2,055162659123055
Reed Solomon;MEDIUM;0,001;2884560;2814;1414;1,99009900990099
Reed Solomon;MEDIUM;0,001;2884560;2942;1414;2,0806223479490806
Reed Solomon;MEDIUM;0,001;2884560;2900;1414;2,050919377652051
Reed Solomon;MEDIUM;0,001;2884560;2927;1414;2,07001414427157
Reed Solomon;MEDIUM;0,001;2884560;3018;1414;2,1343705799151342
Reed Solomon;MEDIUM;0,001;2884560;2880;1414;2,036775106082037
Reed Solomon;MEDIUM;0,001;2884560;2826;1414;1,9985855728429986
Reed Solomon;MEDIUM;0,001;2884560;2757;1414;1,9497878359264498
Reed Solomon;MEDIUM;0,001;2884560;2843;1414;2,010608203677511
Reed Solomon;MEDIUM;0,001;2884560;2868;1414;2,0282885431400284
Reed Solomon;MEDIUM;0,001;2884560;2877;1414;2,0346534653465347
Reed Solomon;MEDIUM;0,001;2884560;2897;1414;2,0487977369165487
Reed Solomon;MEDIUM;0,001;2884560;2907;1414;2,055869872701556
Reed Solomon;MEDIUM;0,001;2884560;2891;1414;2,0445544554455446
Reed Solomon;MEDIUM;0,001;2884560;2923;1414;2,067185289957567
Reed Solomon;MEDIUM;0,001;2884560;2842;1414;2,00990099009901
Reed Solomon;MEDIUM;0,001;2884560;2810;1414;1,9872701555869872
Reed Solomon;MEDIUM;0,001;2884560;2871;1414;2,0304101838755306
Reed Solomon;MEDIUM;0,001;2884560;2932;1414;2,0735502121640734
Reed Solomon;MEDIUM;0,001;2884560;3001;1414;2,1223479490806225
Reed Solomon;MEDIUM;0,001;2884560;2887;1414;2,041725601131542
Reed Solomon;MEDIUM;0,001;2884560;2815;1414;1,9908062234794908
Reed Solomon;MEDIUM;0,001;2884560;2822;1414;1,9957567185289957
Reed Solomon;MEDIUM;0,001;2884560;2841;1414;2,009193776520509
Reed Solomon;MEDIUM;0,001;2884560;2928;1414;2,0707213578500707
Reed Solomon;MEDIUM;0,001;2884560;2815;1414;1,9908062234794908
Reed Solomon;MEDIUM;0,001;2884560;2891;1414;2,0445544554455446
Reed Solomon;MEDIUM;0,001;2884560;2900;1414;2,050919377652051
Reed Solomon;MEDIUM;0,001;2884560;2922;1414;2,0664780763790667
Reed Solomon;MEDIUM;0,001;2884560;2867;1414;2,0275813295615275
Reed Solomon;MEDIUM;0,001;2884560;2875;1414;2,0332390381895333
Reed Solomon;MEDIUM;0,001;2884560;2871;1414;2,0304101838755306
Reed Solomon;MEDIUM;0,001;2884560;2746;1414;1,9420084865629421
Reed Solomon;MEDIUM;0,001;2884560;2942;1414;2,0806223479490806
Reed Solomon;MEDIUM;0,001;2884560;2928;1414;2,0707213578500707
Reed Solomon;MEDIUM;0,001;2884560;2875;1414;2,0332390381895333
Reed Solomon;MEDIUM;0,001;2884560;2852;1414;2,016973125884017
Reed Solomon;MEDIUM;0,001;2884560;2810;1414;1,9872701555869872
Reed Solomon;MEDIUM;0,001;2884560;2916;1414;2,062234794908062
Reed Solomon;MEDIUM;0,001;2884560;2886;1414;2,041018387553041
Reed Solomon;MEDIUM;0,001;2884560;2916;1414;2,062234794908062
Reed Solomon;MEDIUM;0,001;2884560;2800;1414;1,9801980198019802
Reed Solomon;MEDIUM;0,001;2884560;2938;1414;2,077793493635078
Reed Solomon;MEDIUM;0,001;2884560;2847;1414;2,0134370579915135
Reed Solomon;MEDIUM;0,001;2884560;2941;1414;2,0799151343705797
Reed Solomon;MEDIUM;0,001;2884560;2860;1414;2,0226308345120225
Reed Solomon;MEDIUM;0,002;2884560;5696;1414;4,028288543140028
Reed Solomon;MEDIUM;0,002;2884560;5722;1414;4,046676096181047
Reed Solomon;MEDIUM;0,002;2884560;5749;1414;4,065770862800566
Reed Solomon;MEDIUM;0,002;2884560;5716;1414;4,042432814710042
Reed Solomon;MEDIUM;0,002;2884560;5738;1414;4,057991513437058
Reed Solomon;MEDIUM;0,002;2884560;5703;1414;4,033239038189533
Reed Solomon;MEDIUM;0,002;2884560;5883;1414;4,16053748231966
Reed Solomon;MEDIUM;0,002;2884560;5735;1414;4,055869872701556
Reed Solomon;MEDIUM;0,002;2884560;5755;1414;4,07001414427157
Reed Solomon;MEDIUM;0,002;2884560;5732;1414;4,053748231966054
Reed Solomon;MEDIUM;0,002;2884560;5650;1414;3,995756718528996
Reed Solomon;MEDIUM;0,002;2884560;5821;1414;4,116690240452617
Reed Solomon;MEDIUM;0,002;2884560;5847;1414;4,135077793493635
Reed Solomon;MEDIUM;0,002;2884560;5810;1414;4,108910891089109
Reed Solomon;MEDIUM;0,002;2884560;5840;1414;4,13012729844413
Reed Solomon;MEDIUM;0,002;2884560;5702;1414;4,032531824611032
Reed Solomon;MEDIUM;0,002;2884560;5889;1414;4,164780763790665
Reed Solomon;MEDIUM;0,002;2884560;5667;1414;4,007779349363508
Reed Solomon;MEDIUM;0,002;2884560;5872;1414;4,152758132956153
Reed Solomon;MEDIUM;0,002;2884560;5838;1414;4,128712871287129
Reed Solomon;MEDIUM;0,002;2884560;5841;1414;4,130834512022631
Reed Solomon;MEDIUM;0,002;2884560;5741;1414;4,06011315417256
Reed Solomon;MEDIUM;0,002;2884560;5730;1414;4,052333804809052
Reed Solomon;MEDIUM;0,002;2884560;5722;1414;4,046676096181047
Reed Solomon;MEDIUM;0,002;2884560;5789;1414;4,094059405940594
Reed Solomon;MEDIUM;0,002;2884560;5840;1414;4,13012729844413
Reed Solomon;MEDIUM;0,002;2884560;5672;1414;4,011315417256012
Reed Solomon;MEDIUM;0,002;2884560;5891;1414;4,166195190947666
Reed Solomon;MEDIUM;0,002;2884560;5719;1414;4,044554455445544
Reed Solomon;MEDIUM;0,002;2884560;5724;1414;4,048090523338048
Reed Solomon;MEDIUM;0,002;2884560;5907;1414;4,1775106082036775
Reed Solomon;MEDIUM;0,002;2884560;5804;1414;4,1046676096181045
Reed Solomon;MEDIUM;0,002;2884560;5707;1414;4,036067892503536
Reed Solomon;MEDIUM;0,002;2884560;5878;1414;4,157001414427157
Reed Solomon;MEDIUM;0,002;2884560;5678;1414;4,015558698727015
Reed Solomon;MEDIUM;0,002;2884560;5739;1414;4,058698727015559
Reed Solomon;MEDIUM;0,002;2884560;5744;1414;4,062234794908062
Reed Solomon;MEDIUM;0,002;2884560;5815;1414;4,112446958981613
Reed Solomon;MEDIUM;0,002;2884560;5695;1414;4,027581329561528
Reed Solomon;MEDIUM;0,002;2884560;5777;1414;4,085572842998586
Reed Solomon;MEDIUM;0,002;2884560;5742;1414;4,060820367751061
Reed Solomon;MEDIUM;0,002;2884560;5940;1414;4,200848656294201
Reed Solomon;MEDIUM;0,002;2884560;5900;1414;4,172560113154173
Reed Solomon;MEDIUM;0,002;2884560;5832;1414;4,124469589816124
Reed Solomon;MEDIUM;0,002;2884560;5881;1414;4,1591230551626595
Reed Solomon;MEDIUM;0,002;2884560;5737;1414;4,057284299858558
Reed Solomon;MEDIUM;0,002;2884560;5734;1414;4,055162659123055
Reed Solomon;MEDIUM;0,002;2884560;5874;1414;4,154172560113154
Reed Solomon;MEDIUM;0,002;2884560;5807;1414;4,106789250353607
Reed Solomon;MEDIUM;0,002;2884560;5819;1414;4,115275813295615
Reed Solomon;MEDIUM;0,002;2884560;5690;1414;4,024045261669024
Reed Solomon;MEDIUM;0,002;2884560;5791;1414;4,0954738330975955
Reed Solomon;MEDIUM;0,002;2884560;5793;1414;4,096888260254597
Reed Solomon;MEDIUM;0,002;2884560;5753;1414;4,0685997171145685
Reed Solomon;MEDIUM;0,002;2884560;5794;1414;4,097595473833097
Reed Solomon;MEDIUM;0,002;2884560;5830;1414;4,123055162659123
Reed Solomon;MEDIUM;0,002;2884560;5719;1414;4,044554455445544
Reed Solomon;MEDIUM;0,002;2884560;5799;1414;4,101131541725601
Reed Solomon;MEDIUM;0,002;2884560;5785;1414;4,091230551626591
Reed Solomon;MEDIUM;0,002;2884560;5553;1414;3,927157001414427
Reed Solomon;MEDIUM;0,002;2884560;5710;1414;4,038189533239038
Reed Solomon;MEDIUM;0,002;2884560;5732;1414;4,053748231966054
Reed Solomon;MEDIUM;0,002;2884560;5844;1414;4,132956152758133
Reed Solomon;MEDIUM;0,002;2884560;5613;1414;3,9695898161244694
Reed Solomon;MEDIUM;0,002;2884560;5733;1414;4,054455445544554
Reed Solomon;MEDIUM;0,002;2884560;5889;1414;4,164780763790665
Reed Solomon;MEDIUM;0,002;2884560;5825;1414;4,11951909476662
Reed Solomon;MEDIUM;0,002;2884560;5849;1414;4,136492220650637
Reed Solomon;MEDIUM;0,002;2884560;5820;1414;4,115983026874116
Reed Solomon;MEDIUM;0,002;2884560;5785;1414;4,091230551626591
Reed Solomon;MEDIUM;0,002;2884560;5711;1414;4,038896746817539
Reed Solomon;MEDIUM;0,002;2884560;5705;1414;4,034653465346534
Reed Solomon;MEDIUM;0,002;2884560;5802;1414;4,103253182461104
Reed Solomon;MEDIUM;0,002;2884560;5646;1414;3,992927864214993
Reed Solomon;MEDIUM;0,002;2884560;5722;1414;4,046676096181047
Reed Solomon;MEDIUM;0,002;2884560;5826;1414;4,12022630834512
Reed Solomon;MEDIUM;0,002;2884560;5788;1414;4,093352192362094
